description,category,priority
Live electrical wire snapped and hanging dangerously low over sidewalk.,Electricity,Critical
Total power outage affecting 5 residential blocks for past 6 hours.,Electricity,High
Transformer sparked loudly and caught fire near petrol station.,Electricity,Critical
"Streetlights on 5th street out for 3 nights, dark and unsafe at night.",Electricity,Medium
Single streetlight bulb flickering continuously outside house #12.,Electricity,Low
Electric pole leaning precariously after truck collision.,Electricity,Critical
High voltage power surges damaging home electrical appliances.,Electricity,High
Open junction box with exposed copper wires at child eye level.,Electricity,Critical
"Overhanging tree branches touching high-tension power lines, sparking.",Electricity,High
Solar streetlight panel stolen from highway median strip.,Electricity,Low
Low voltage causing light dimming and refrigerator shutdown.,Electricity,Medium
Electricity meter box cover loose and swinging in wind.,Electricity,Low
Power outage at municipal hospital emergency backup system glitch.,Electricity,Critical
Frequent micro-outages occurring every 15 minutes in sector 7.,Electricity,Medium
Underground power cable exposed due to soil erosion.,Electricity,High
Streetlight pole rusted at base and wobbling.,Electricity,Medium
Unscheduled blackout lasting 8 hours during heatwave.,Electricity,High
Short circuit in public decorative lighting post.,Electricity,Medium
Broken glass casing on streetlight fixture.,Electricity,Low
Feeder pillar box damaged and open to rain.,Electricity,Critical
Illegal hook connections on electrical lines causing overload.,Electricity,High
Streetlights remain turned on during bright daytime.,Electricity,Low
Power line drooping low across driveway entrance.,Electricity,High
Transformer oil leaking onto public street pavement.,Electricity,High
Electric pole blocking new wheelchair ramp.,Electricity,Low
Smart meter displaying error code and cutting power off.,Electricity,Medium
Buzzer sound coming from electric transformer sub-station.,Electricity,Medium
Loose neutral wire causing shocks when touching metal water taps.,Electricity,Critical
"Streetlight timer misconfigured, lights turn on at midnight only.",Electricity,Low
Burnt insulation smell near power distribution cabinet.,Electricity,High
Cable TV wire tangled dangerously with main electrical power line.,Electricity,Medium
Electrical junction box submerged in standing water post-rain.,Electricity,Critical
Defective street lighting on pedestrian overpass bridge.,Electricity,Medium
Substation door unlocked and open to general public.,Electricity,Critical
Lamp post glass bowl missing.,Electricity,Low
Stray dog pack acting aggressively and biting pedestrians near school.,Safety,High
Armed robbery attempt reported near unlit alley near subway.,Safety,Critical
Open construction excavation site lacking safety fencing or lights.,Safety,Critical
Playground slide rusted with sharp metal edge cutting children.,Safety,High
"Manhole missing cover in unlit street, pedestrian fell in.",Safety,Critical
Speeding drag racers racing every midnight on residential avenue.,Safety,High
Suspicious unattended backpack left near central train platform.,Safety,Critical
Traffic signal lights completely dead at busy 4-way crossroad.,Safety,Critical
Pedestrian bridge handrail broken and missing 2-meter section.,Safety,Critical
Overhanging heavy dead tree branch about to fall on pedestrian path.,Safety,High
Gas smell detected near underground gas pipeline valve.,Safety,Critical
Park footbridge planks rotten and stepping through.,Safety,High
Stray cattle blocking main traffic lane causing accidents.,Safety,Medium
Broken glass bottles thrown on public beach walkway.,Safety,Low
School crossing guard sign missing.,Safety,Low
Derelict abandoned building used by trespassers for illegal activities.,Safety,Medium
Fire extinguisher in public library expired 2 years ago.,Safety,Medium
Blind corner intersection needs convex safety mirror.,Safety,Low
Missing emergency exit lights in municipal community center.,Safety,Medium
Unsecured scaffolding swaying dangerously over sidewalk.,Safety,Critical
Swarm of aggressive wasps nesting under park shelter bench.,Safety,Medium
Fire hydrant blocked by illegally parked commercial vehicle.,Safety,High
Slippery algae on public swimming pool deck causing slips.,Safety,Low
CCTV security camera turned away facing wall.,Safety,Low
Dangerous pit dug by internet service provider left uncovered.,Safety,High
Broken glass window in public restroom booth.,Safety,Low
Illegal fireworks set off in dense apartment balcony.,Safety,High
Loose billboard signboard hanging by single bolt over highway.,Safety,Critical
Aggressive soliciting near ATM machine.,Safety,Medium
Public elevator trapped passengers between 2nd and 3rd floor.,Safety,Critical
Traffic sign hidden behind overgrown tree foliage.,Safety,Low
Chemical spill from delivery van on road surface.,Safety,Critical
Cracked concrete steps on public stairs near library.,Safety,Medium
No life ring buoy available near river promenade wall.,Safety,Medium
Stray dogs barking at night near residential quarter.,Safety,Low
Loud music played from commercial venue past 2 AM quiet hours.,Other,Medium
Public park lawn unmown and weeds waist high.,Other,Low
Public library air conditioning unit out of order.,Other,Low
Overgrown bushes encroaching on walking track.,Other,Low
Graffiti tag sprayed across heritage monument wall.,Other,Medium
Public bench broken in central town plaza.,Other,Low
Municipal helpline call goes unanswered repeatedly.,Other,Medium
Request for additional trash cans in community garden.,Other,Low
Inaccurate bus arrival schedule displayed on digital board.,Other,Low
Public fountain turned off for over a month.,Other,Low
Permit inquiry regarding commercial sign installation delay.,Other,Low
Noise complaint regarding illegal night construction work.,Other,High
Public toilet facility locked during stated open hours.,Other,Medium
Vandalized information kiosk at tourist center.,Other,Medium
Request for tree pruning along private fence boundary.,Other,Low
Public clock tower showing wrong time.,Other,Low
Broken playground swing set chain.,Other,Low
Request to install public dog waste bag dispensers.,Other,Low
Rude behavior of staff at civic birth certificate counter.,Other,Medium
Public park fountain water turned green with scum.,Other,Low
Notice board glass broken at council hall.,Other,Low
Loud commercial generator running continuous without muffler.,Other,Medium
Inquiry regarding property tax assessment objection procedure.,Other,Low
Community hall reservation double booked by system error.,Other,Medium
Request for new flower beds in municipal park.,Other,Low
Flag pole rope snapped at civic plaza.,Other,Low
Public Wi-Fi access down at central library branch.,Other,Low
Feral cats colony gathering near hospital canteen.,Other,Low
Public notice missing from neighborhood display board.,Other,Low
Encroachment of street vendors occupying entire public walkway.,Other,Medium
Request for handicap parking bay painting near post office.,Other,Low
Public audio speaker playing announcement distorted.,Other,Low
Bicycle rental rack station offline and not unlocking bikes.,Other,Low
Unclaimed lost property found in public transit center.,Other,Low
Delay in processing business license renewal application.,Other,Medium
Water from tap smells strongly of gasoline and has an oily chemical film floating on top.,Water/Drainage,Critical
High voltage electrical transformer emitting thick black smoke and intense buzzing near plaza.,Electricity,Critical
Open unlit construction pit on walking path with no barricades where pedestrians have fallen.,Safety,Critical
Rotting carcass and maggots spilling from torn bags near school entrance creating biohazard.,Waste,Critical
Sudden massive ground collapse swallowing vehicles near hospital emergency gate.,Road,Critical
Severe raw sewage backflow pouring into multiple residential basements after pipe collapse.,Water/Drainage,Critical
Exposed live electrical wiring submerged in standing rainwater near children play area.,Electricity,Critical
Toxic chemical stench and dark fumes leaking from abandoned barrels near riverbank.,Waste,Critical
Bridge support pillar cracked severely with visible structural shifting under heavy loads.,Road,Critical
Natural gas odor leaking heavily from cracked main underground pipe junction.,Safety,Critical
Dozens of ripped garbage bags scattered by dogs leaving rotting meat across public walkway.,Waste,High
Illegal late night drag racing and roaring engines keeping hundreds of residents awake until 3 AM.,Safety,High
Deep crater pothole on high speed expressway causing severe wheel damage and sudden swerving.,Road,High
Pack of aggressive stray dogs chasing and biting at morning commuters near transit station.,Safety,High
Total power blackout affecting entire commercial district during peak business hours.,Electricity,High
Clogged main storm drain causing waist deep water flooding across major avenue.,Water/Drainage,High
Overhanging heavy dead tree limb dangling directly above busy bus stop bench.,Safety,High
Sparking power cables touching tree branches causing localized fire flashes.,Electricity,High
Massive pile of uncollected commercial food waste attracting swarms of flies and rats.,Waste,High
Sharp broken glass shards and metal rusted sheets scattered across public park playground.,Safety,High
Retaining wall leaning heavily with falling rocks threatening passing cars.,Road,High
Flooded pedestrian underpass completely impassable after heavy thunderstorm.,Water/Drainage,High
Five old CRT television monitors and electronic scrap dumped in creek bed.,Waste,Medium
Damaged speed bump with loose asphalt chunks scattered in residential alley.,Road,Medium
Low water pressure on upper floors of 4-story apartment building.,Water/Drainage,Medium
Intermittent streetlight flickering every few minutes along residential street.,Electricity,Medium
Abandoned derelict vehicle parked illegally blocking community alleyway.,Safety,Medium
Loud commercial air conditioner unit humming continuously past midnight.,Other,Medium
Overflowing public trash can behind market needing daily clearing.,Waste,Medium
Sunken road section collecting stagnant puddle after rain.,Road,Medium
Broken lock on public restroom booth door requiring repair.,Other,Medium
Graffiti tags painted across side wall of civic community hall.,Other,Medium
Loose manhole cover making loud clanking sound when driven over.,Road,Medium
Stagnant water pooling in clogged roadside gutter emitting mild odor.,Water/Drainage,Medium
Public library garden overgrown with dandelions and weeds around bench.,Other,Low
Streetlight pole fixture completely dark at end of quiet cul-de-sac.,Electricity,Low
Single light bulb burnt out in streetlight post #402.,Electricity,Low
Minor crack on concrete sidewalk pavement near park entrance.,Road,Low
Faded zebra crossing lines needing repainting near community park.,Road,Low
Small pile of dry leaves waiting for scheduled weekend garden pickup.,Waste,Low
Public drinking water fountain button sticking slightly when pressed.,Water/Drainage,Low
Notice board glass smudged at neighborhood council hall.,Other,Low
Public park lawn grass slightly tall near flower beds.,Other,Low
Small gravel accumulation on corner of residential street.,Road,Low
Dry tree twigs lying on sidewalk after mild breeze.,Safety,Low
